VENDOR,P-NO,P-NAME,PO-NO,DUE,PLACE,PRICE,QTY,RCV,REMAIN,LAST_RCV,EX-LOT,ISSUE,STS,DOC_NO,UNIT WEIGHT,DUE-TIME,PRIVILEDGE
TRT,16164-0012,CANISTER,E87497,12/26/2018,RKD,127.43,20,0,0,00/00/0000,N9SC023,11/29/2018,K,1811-E5290,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E87611,12/27/2018,RKD,127.43,20,0,0,00/00/0000,N9SC024,11/29/2018,K,1811-E5290,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E87725,12/28/2018,RKD,127.43,20,0,0,00/00/0000,N9SC025,11/29/2018,K,1811-E5290,0.236,08:00-09:00,FREEZONE
TRT,49065-0708,FILTER-OIL,E65517,12/22/2018,RKD,26.6,20,0,0,00/00/0000,H9MD019,11/29/2018,K,1811-E5291,0.049,08:00-09:00,FREEZONE
TRT,49065-0708,FILTER-OIL,E66046,12/28/2018,RKD,26.6,20,0,0,00/00/0000,H9MD020,11/29/2018,K,1811-E5291,0.049,08:00-09:00,FREEZONE
TRT,49065-0708,FILTER-OIL,E76628,12/17/2018,RKD,26.6,20,0,0,00/00/0000,J9JQ003,11/29/2018,K,1811-E5291,0.049,08:00-09:00,FREEZONE
TRT,49065-0708,FILTER-OIL,E77415,12/24/2018,RKD,26.6,20,0,0,00/00/0000,J9KE013,11/29/2018,K,1811-E5291,0.049,08:00-09:00,FREEZONE
TRT,11010-0767,FILTER-ASSY-AIR,H46464,1/7/2019,RSP,176.08,5,0,0,00/00/0000,RY26803,11/26/2018,S,1811-H1067,0.842,08:00-09:00,NON FREEZONE
TRT,11010-1773  KMT,FILTER-ASSY-AIR,H46576,1/9/2019,RSP,181.23,40,0,0,00/00/0000,RY26805,11/26/2018,S,1811-H1099,0.152,08:00-09:00,NON FREEZONE
TRT,11011-0159,CASE-AIR FILTER,H46577,1/9/2019,RSP,318.49,10,0,0,00/00/0000,RY26805,11/26/2018,S,1811-H1099,1.772,08:00-09:00,NON FREEZONE
TRT,11013-0030,ELEMENT-AIR FILTER,H46578,1/9/2019,RSP,69.78,115,0,0,00/00/0000,RY26805,11/26/2018,S,1811-H1099,0.01,08:00-09:00,NON FREEZONE
TRT,11013-0713,ELEMENT-AIR FILTER,H46579,1/9/2019,RSP,53.58,735,0,0,00/00/0000,RY26805,11/26/2018,S,1811-H1099,0.15,08:00-09:00,NON FREEZONE
TRT,11013-1268,ELEMENT-AIR FILTER,H46580,1/9/2019,RSP,26,145,0,0,00/00/0000,RY26805,11/26/2018,S,1811-H1099,0,08:00-09:00,NON FREEZONE
TRT,11013-1293,ELEMENT-AIR FILTER,H46581,1/9/2019,RSP,17.86,15,0,0,00/00/0000,RY26805,11/26/2018,S,1811-H1099,0,08:00-09:00,NON FREEZONE
TRT,11013-1294,ELEMENT-AIR FILTER,H46582,1/9/2019,RSP,14.6,320,0,0,00/00/0000,RY26805,11/26/2018,S,1811-H1099,0.004,08:00-09:00,NON FREEZONE
TRT,11013-1303,ELEMENT-AIR FILTER,H46583,1/9/2019,RSP,40,190,0,0,00/00/0000,RY26805,11/26/2018,S,1811-H1099,0.005,08:00-09:00,NON FREEZONE
TRT,11029-0011,ELEMENT-ASSY-AIR FILTER,H46584,1/9/2019,RSP,161.51,280,0,0,00/00/0000,RY26805,11/26/2018,S,1811-H1099,0.136,08:00-09:00,NON FREEZONE
TRT,11065-0210    6Z,CAP,H46761,1/10/2019,RSP,22.89,10,0,0,00/00/0000,RY26806,11/26/2018,S,1811-H1133,0,08:00-09:00,NON FREEZONE
TRT,11065-1133,CAP,H46762,1/10/2019,RSP,12.4,20,0,0,00/00/0000,RY26806,11/26/2018,S,1811-H1133,0.0008,08:00-09:00,NON FREEZONE
TRT,13280-0226,"HOLDER,ELEMENT",H46906,1/11/2019,RSP,5.68,30,0,0,00/00/0000,RY26807,11/26/2018,S,1811-H1162,0,08:00-09:00,NON FREEZONE
TRT,14073-0733,DUCT,H47149,1/14/2019,RSP,28.36,5,0,0,00/00/0000,RY26808,11/26/2018,S,1811-H1213,0,08:00-09:00,NON FREEZONE
TRT,14073-1725,DUCT,H47150,1/14/2019,RSP,30,5,0,0,00/00/0000,RY26808,11/26/2018,S,1811-H1213,0,08:00-09:00,NON FREEZONE
TRT,14073-1734,DUCT,H47151,1/14/2019,RSP,33,5,0,0,00/00/0000,RY26808,11/26/2018,S,1811-H1213,0,08:00-09:00,NON FREEZONE
TRT,14073-1820,DUCT,H47152,1/14/2019,RSP,27.25,10,0,0,00/00/0000,RY26808,11/26/2018,S,1811-H1213,0,08:00-09:00,NON FREEZONE
